Player,Age,G,MP,eFG%,FT%,TRB,AST,BLK,TOV,PTS
Precious Achiuwa,23,4,25.8,0.434,0.692,11,0.8,0.3,1,10.5
Steven Adams,29,4,29.8,0.571,0.286,10,2,2,1,5
Bam Adebayo,25,4,35.5,0.457,0.867,8.5,2.8,0.8,4,13.8
Ochai Agbaji,22,1,1,0,0,0,0,0,0,0
Santi Aldama,22,4,30.8,0.568,0.75,7.5,1,1.3,0.8,12.8
Nickeil Alexander-Walker,24,2,3,0.5,0,0,1,0,0,1
Grayson Allen,27,2,30,0.381,0.778,4,3,0,1.5,11.5
Jarrett Allen,24,3,33.3,0.556,0.75,10,1.7,1.7,1,12
Jose Alvarado,24,4,20,0.667,0.5,2.5,2.5,0.3,1.8,8.3
Kyle Anderson,29,2,11.5,0,1,3,0.5,0.5,1,1
Giannis Antetokounmpo,28,2,32,0.743,0.556,12.5,5.5,1.5,2.5,32.5
Thanasis Antetokounmpo,30,1,1,0,0,0,0,0,0,0
Cole Anthony,22,3,30,0.535,0.636,4.3,4,0.7,1.7,17.7
OG Anunoby,25,4,36.8,0.487,0.818,7,1.5,1,2.3,11.8
Ryan Arcidiacono,28,1,2,0,0,0,0,0,0,0
Deni Avdija,22,4,18,0.5,1,4.8,1.5,0.8,0.5,5.3
Deandre Ayton,24,4,30.8,0.56,0.727,9.5,2.5,0.5,3.3,18.3
Mo Bamba,24,4,13.3,0.294,0.5,2.8,1,0,0.8,3
Paolo Banchero,20,4,34,0.449,0.811,7.5,3,1.5,2.8,22.8
Desmond Bane,24,4,32.5,0.5,0.857,4,6,0.5,1.8,20.5
Dalano Banton,23,4,8.8,0.389,1,1,0.5,0.5,0.3,2.3
Harrison Barnes,30,3,29,0.368,0.538,5.7,1.3,0.3,1.3,7
Scottie Barnes,21,3,27,0.541,0.6,4,4,1,2.3,14.3
RJ Barrett,22,3,34.3,0.375,0.833,5.7,2.7,0.3,2,16.3
Will Barton,32,4,26.8,0.569,1,3.3,2.5,0.3,2.3,11.3
Keita Bates-Diop,27,4,4.5,0.9,0,0.3,0,0,0.3,2.3
Nicolas Batum,34,4,17.5,0.8,0.75,4.3,1,0.5,0.3,4.8
Darius Bazley,22,4,15.5,0.472,0.5,4,1.5,1.3,0.5,5
Bradley Beal,29,4,34.5,0.625,0.857,3.5,6.3,0.8,4,20.5
Malik Beasley,26,4,24,0.512,0.667,2.3,1,0.3,0.5,11.5
MarJon Beauchamp,22,1,2,1,0,0,0,0,0,2
Patrick Beverley,34,3,29,0.3,1,2.7,2.7,1.3,1.7,5
Saddiq Bey,23,4,32,0.524,1,6.5,1.8,0.5,1.3,15
Khem Birch,30,1,7,0.5,0,2,0,0,0,2
Goga Bitadze,23,4,18.5,0.583,0.5,5.3,1.8,1,1,6.3
Bismack Biyombo,30,2,3.5,0,0,1,0.5,0,0.5,0
Buddy Boeheim,23,1,1,0,0,0,0,0,0,0
Bojan Bogdanovi?,33,4,30.8,0.657,0.923,3.8,2.3,0,1,20.8
Bol Bol,23,4,16,0.673,1,4.8,0,2.8,1.3,10
Leandro Bolmaro,22,1,1,0,0,0,0,0,0,0
Devin Booker,26,4,38.8,0.602,0.882,3,5.8,0.3,2.5,32.5
Brandon Boston Jr.,21,2,3,0.6,0,0,0,0,0,3
Chris Boucher,30,1,12,1,0,2,0,1,1,10
James Bouknight,22,3,15,0.211,1,1.7,1,0,0.3,3.3
Tony Bradley,25,2,3,0,0,1.5,0,0,0,0
Christian Braun,21,4,13.5,0.542,0,2.3,1.3,0.3,0.5,3.3
Mikal Bridges,26,4,37,0.581,0.778,7,3.3,1,1.8,12.5
Oshae Brissett,24,2,10.5,0.25,0,1.5,0,0,1,1.5
Malcolm Brogdon,30,4,23,0.465,0.889,3.8,3.3,0,2,12
Dillon Brooks,27,1,24,0.154,0,0,1,0,2,4
Bruce Brown,26,4,25.5,0.581,0.5,2.3,3.3,0.5,1.5,9.8
Greg Brown III,21,1,4,1,0,0,0,0,0,4
Jaylen Brown,26,4,36.3,0.525,0.846,5.5,2.8,1.5,2.5,24
Moses Brown,23,2,3,0.5,0,1,0,0.5,0,1
Troy Brown Jr.,23,1,22,0.286,0,4,1,0,0,4
Jalen Brunson,26,3,32.3,0.522,0.75,3.7,7,0,1,17.7
Reggie Bullock,31,3,29.7,0.526,1,3.3,1,0,0.7,7
Jimmy Butler,33,4,36.3,0.517,0.861,6.8,4.3,0.3,1.3,23
Kentavious Caldwell-Pope,29,4,32.5,0.583,1,3.8,3.5,0.3,1.5,11.5
Facundo Campazzo,31,1,13,0.375,0,0,2,0,0,3
Vlatko ?an?ar,25,1,1,0,0,0,0,0,0,0
Clint Capela,28,3,27,0.647,1,8.3,0.3,1.3,0.7,8
Jevon Carter,27,2,23.5,0.357,0,2.5,2.5,0,3,2.5
Wendell Carter Jr.,23,4,33.5,0.5,0.765,10.5,2.8,0.5,2.3,14.3
Alex Caruso,28,4,23.8,0.353,0.75,3.3,2.8,1,2.8,4.5
Kennedy Chandler,20,1,9,0,0,0,2,2,2,0
Max Christie,19,1,2,1.5,0,1,0,0,0,3
Josh Christopher,21,4,9,0.357,0.5,1.5,0.8,0,0.3,2.8
Brandon Clarke,26,4,16.8,0.65,0.7,3.8,1.3,0.5,1.3,8.3
Jordan Clarkson,30,4,32.3,0.568,0.778,3.8,5.3,0.8,3.5,18.5
Nic Claxton,23,3,30.7,0.75,0.5,9.3,0,2.7,1.3,16
Amir Coffey,25,3,11.3,0.286,0.875,1,1,0.3,0.3,3.7
John Collins,25,3,36,0.618,1,10.3,0.7,1.7,1.7,19
Zach Collins,25,4,14,0.571,0.667,2.8,2.5,1.8,1.5,6.5
Mike Conley,35,4,33,0.39,0.7,2.3,8.5,1,1.8,9.8
Robert Covington,32,4,18,0.5,1,4.8,1.5,1.3,0.5,5.8
Torrey Craig,32,4,13.5,0.7,0,3.3,0.8,0,0.3,5.3
Cade Cunningham,21,4,33.3,0.436,0.813,4,6,0,3,18.5
Stephen Curry,34,4,32.5,0.578,0.926,5.8,5.3,0.3,2.5,30.3
Dyson Daniels,19,2,12.5,0.75,1,1.5,2,0.5,0.5,5.5
Anthony Davis,29,3,34.7,0.527,0.8,8,1,2.3,2,24.7
Johnny Davis,20,1,3,0,0,1,0,0,0,0
Terence Davis,25,3,17.7,0.6,0.833,2.7,1,0.3,0.3,9.7
Dewayne Dedmon,33,4,11.3,0.682,0,1.8,0.5,0,0.8,3.8
DeMar DeRozan,33,4,34.5,0.549,0.853,4.8,5.3,0.3,1.8,26.8
Hamidou Diallo,24,4,13.3,0.333,0.3,3.3,0.8,0,0,3.3
Gorgui Dieng,33,2,10.5,0.5,0,2,3,1,0,3.5
Ousmane Dieng,19,4,12.5,0.233,0,2,1,0.5,0.3,1.8
Spencer Dinwiddie,29,3,31.3,0.641,0.571,2.3,3.3,0,1.7,18
Donte DiVincenzo,26,3,14,0.545,0.75,0.7,1,0,2,5
Luka Don?i?,23,3,34.3,0.553,0.87,9,7.7,1,3.3,34.7
Tyler Dorsey,26,1,4,1.125,0,2,0,0,0,9
Luguentz Dort,23,4,29.5,0.294,0.85,4.5,2,0,1.3,11.8
Ayo Dosunmu,23,4,32.3,0.638,0,5.3,2.8,0.3,1,12.8
Goran Dragi?,36,4,17.8,0.5,0.5,1,4,0,0.5,7.5
Andre Drummond,29,4,15.3,0.478,0.778,8.5,0.5,0.5,2.5,7.3
Chris Duarte,25,4,18.5,0.359,1,2,1,0.5,1,6.8
Kevin Durant,34,3,35.3,0.61,0.857,4.3,4,2,3.3,32
Jalen Duren,19,4,21.5,0.567,0,7.8,0.3,1.3,1,8.5
Tari Eason,21,4,18,0.485,0.8,6.3,0.5,1,0.5,9
Anthony Edwards,21,4,35.5,0.486,0.533,8.5,3.5,0.3,3.5,20
Kessler Edwards,22,1,4,0.5,0,2,2,0,0,3
Joel Embiid,28,4,34.5,0.5,0.833,11.3,3.3,1.8,3.8,26.8
Drew Eubanks,25,4,14.3,0.6,0.778,3.3,0.3,1,0.5,3.3
Bruno Fernando,24,2,18.5,0.833,0.5,6.5,4.5,1,0.5,5.5
Dorian Finney-Smith,29,3,33.3,0.533,0,4,1,0.7,0.7,5.3
Malachi Flynn,24,2,7.5,0.75,0,0,0,0,0,4.5
Simone Fontecchio,27,3,5.7,0.722,0,1,0,0,0.7,4.3
Bryn Forbes,29,4,8,0.222,1,0.3,0.5,0,0.3,1.5
Trent Forrest,24,1,2,0,0,0,1,0,0,0
Evan Fournier,30,3,26.7,0.463,1,2.3,2.3,0.3,0.3,10
De'Aaron Fox,25,3,34.7,0.664,0.714,5.7,7,0.3,4.7,31.7
Wenyen Gabriel,25,1,8,0,0,1,1,0,0,0
Daniel Gafford,24,4,17,0.706,0.5,4,0.3,1.3,1.5,6.3
Darius Garland,23,1,13,0.25,0,1,3,1,5,4
Usman Garuba,20,2,18,0.583,0.25,6,1.5,0,2,4
Rudy Gay,36,4,17.3,0.523,0,2.5,1.3,0.8,1,5.8
Paul George,32,3,36,0.509,0.941,7.7,4.7,0.3,3.7,23.7
Taj Gibson,37,1,3,0,0,0,0,0,0,0
Josh Giddey,20,3,29.3,0.5,0.5,8.3,5,1,3,14.3
Shai Gilgeous-Alexander,24,3,35.7,0.529,1,4.7,6.7,1.7,3,31
Anthony Gill,30,4,10.8,0.375,1,1.3,0.3,0.3,0,2
Rudy Gobert,30,4,32,0.658,0.533,15.3,1,1.8,1.8,14.5
Jordan Goodwin,24,1,2,1,0,3,0,0,1,2
Aaron Gordon,27,4,29.5,0.565,0.667,7.3,2,0.8,1.8,17.3
Eric Gordon,34,3,32,0.5,0.818,2.3,3.3,0,2.3,13.7
Devonte' Graham,27,4,17,0.474,0.5,0.8,2,0.3,0.3,5.3
Jerami Grant,28,4,36.5,0.56,0.75,4,1.3,0.8,1,17
A.J. Green,23,1,2,0,0,0,1,0,0,0
Draymond Green,32,4,27.3,0.66,0.833,5,5.8,0.5,2.3,9.5
Jalen Green,20,4,33.8,0.546,0.929,4.3,2.5,0.3,2.5,24
JaMychal Green,32,4,19.3,0.5,0.5,4.8,0.5,0.3,1,4
Javonte Green,29,4,16,0.462,0.857,2.3,1.3,1,0,4.5
Jeff Green,36,4,18.3,0.652,0.7,2.5,1,0,0.5,9.3
Josh Green,22,3,15.7,0.833,0.75,2,1,0.3,0.7,2.7
AJ Griffin,19,1,6,1,0,0,0,0,0,8
Blake Griffin,33,3,7.7,0.143,0.5,3,1,0,0,1
Rui Hachimura,24,4,23.8,0.542,1,4,0.8,0.3,1.8,11.3
Tyrese Haliburton,22,4,31.5,0.603,0.952,4.3,9.8,0,3,24
R.J. Hampton,21,4,11,0.417,0.75,1,1,0,0.5,2
Tim Hardaway Jr.,30,2,25.5,0.375,1,2,1.5,0,1,12.5
James Harden,33,4,38.3,0.568,0.958,8.5,9.8,0.8,2,26.8
Jaden Hardy,20,1,6,0,0,1,0,0,2,0
Montrezl Harrell,29,4,8.3,0.2,0.833,0.5,0,0.5,0.3,1.8
Joe Harris,31,2,20,0.458,0,3.5,2,0.5,0,5.5
Kevon Harris,25,2,9.5,0.25,0.5,2,0.5,0,0.5,1.5
Tobias Harris,30,4,33,0.602,0.5,6,1.5,0.8,0.5,15
Josh Hart,27,4,37.5,0.563,0.8,10.3,3.5,0,1.8,11
Isaiah Hartenstein,24,3,26.7,0.575,0.75,9.3,1.3,0.7,1.7,9.7
Sam Hauser,25,4,8.5,0.818,0.5,1,0.3,0,0,4.8
Jaxson Hayes,22,2,8,0,0,1,0.5,0,0.5,0
Killian Hayes,21,4,17,0.146,0.667,2,3,0.5,1.3,2.3
Gordon Hayward,32,3,32.3,0.588,0.786,3.3,4.7,0,3.7,19.3
Juancho Hernangómez,27,1,7,0,0,1,0,0,0,0
Willy Hernangómez,28,1,6,0.333,0,5,0,0,0,2
Tyler Herro,23,4,33.3,0.556,0.882,8.8,3.5,0.5,2,21
Buddy Hield,30,4,24.8,0.532,1,5.8,3,0.5,1.8,13.3
Haywood Highsmith,26,3,5,0,0,1,0,0,0.7,0
George Hill,36,2,22,1,0.5,1.5,3,0,1,6.5
Malcolm Hill,27,1,0,0,0,1,0,0,0,0
Aaron Holiday,26,3,15.3,0.375,1,0.7,0.7,0,1,3.7
Jrue Holiday,32,2,34,0.383,1,4.5,9,1.5,1.5,12.5
Justin Holiday,33,3,18.7,0.375,0,0.7,1.7,0.7,0,5
Richaun Holmes,29,3,14.7,0.727,0.75,3.7,0,0.3,1,6.3
Al Horford,36,3,27.3,0.605,0,5,1.3,0.3,1,7.7
Talen Horton-Tucker,22,4,13.5,0.462,0.75,2.5,1.5,0.5,1,6.8
Danuel House Jr.,29,4,18.5,0.458,0.5,2,1.5,0.3,1,3.3
Caleb Houstan,20,2,21.5,0.357,1,3,0,0.5,0.5,3.5
Trevor Hudgins,23,1,4,1.5,0,0,0,0,0,3
Kevin Huerter,24,3,30.7,0.629,0.75,3.7,3.7,0,1.3,16.7
De'Andre Hunter,25,3,32,0.539,0.6,4.7,2,0,0.7,14.7
Bones Hyland,22,4,17,0.455,0.769,0.5,3.5,0.3,1.8,10
Serge Ibaka,33,2,9.5,0.667,0.5,3,0,0.5,0.5,4.5
Brandon Ingram,25,3,26.3,0.632,0.818,5.7,4,0.3,3.3,22
Kyrie Irving,30,3,37.7,0.515,0.929,3.7,5.7,1,2.3,27.3
Jaden Ivey,20,4,31,0.54,0.667,4.3,5.5,0,2.8,16
Isaiah Jackson,21,4,17.8,0.5,0.706,3.8,0.8,1.8,0.8,8
Justin Jackson,27,1,5,1,0,0,0,0,0,6
Reggie Jackson,32,4,26,0.375,0.8,2,4.3,0,2,7.8
LeBron James,38,3,36.7,0.531,0.765,11,7.3,1.3,3.7,27.3
Ty Jerome,25,1,12,0,0,1,2,0,0,0
Isaiah Joe,23,3,2,0.333,0,0.3,1,0,0,0.7
Cameron Johnson,26,4,26.5,0.487,0.5,4,1.5,0.5,0.5,10
Jalen Johnson,21,3,12,0.429,0.75,1.3,0,0,0.7,4
James Johnson,35,1,12,0.333,0,2,1,2,0,2
Keldon Johnson,23,4,32.3,0.529,0.6,6.3,3.5,0,2,20.5
Keon Johnson,20,1,10,0.75,0,2,1,2,3,3
Nikola Joki?,27,4,33.3,0.67,0.88,10.3,9.5,0.3,3,20.3
Damian Jones,27,2,6.5,0.5,0,1.5,1,0,0,3
Derrick Jones Jr.,25,2,16,0.643,0.9,2,0.5,0.5,0.5,9
Herbert Jones,24,3,31.7,0.395,0.778,3.3,2,1.3,1,7.3
Kai Jones,22,2,3,1.5,0,0,0,0,0,1.5
Tre Jones,23,4,30,0.512,0.933,3.8,4.5,0.5,2,14.3
Tyus Jones,26,4,23.8,0.447,0.4,2.8,3.3,0.3,1,11
DeAndre Jordan,34,3,10,0.857,0.25,3,0.7,0.3,0.7,4.3
Cory Joseph,31,4,14.5,0.7,1,1.3,2.3,0,0.8,5.8
Trevor Keels,19,1,1,0,0,1,0,0,0,0
Luke Kennard,26,4,24.8,0.544,1,2.3,0.8,0,1,9.8
Walker Kessler,21,4,18,0.667,0.455,6.3,1.3,1.8,1,6.3
Braxton Key,25,1,5,1,1,0,0,0,0,4
Maxi Kleber,31,3,25,0.591,0.833,6,0.3,1,1,6
Nathan Knight,25,2,2,0,0,1,0,0,0,0
Kevin Knox,23,3,9.3,0.219,0,1.7,0,0,0.7,2.3
Christian Koloko,22,4,16.3,0.25,0.5,3,0.5,0.8,0.3,1.8
John Konchar,26,4,27.5,0.69,0.5,5.5,0.5,0.3,0.5,10.3
Furkan Korkmaz,25,1,2,0,0,0,0,0,0,0
Luke Kornet,27,2,5.5,0.333,0.5,2,0,0,0.5,1.5
Vit Krejci,22,1,2,0,0,0,1,0,0,0
Jonathan Kuminga,20,4,10.8,0.364,1,2,0,0.3,1.5,3
Kyle Kuzma,27,4,33.3,0.55,0.75,6.8,2,1.3,1.5,21
Jock Landale,27,4,16,0.5,0.75,5.8,0.3,0.8,0.8,9.8
Romeo Langford,23,2,4.5,0.4,0,0,0,0,0,2
Jake LaRavia,21,4,15.3,0.588,1,2.8,0.3,0.5,0.5,5.8
Zach LaVine,27,2,30.5,0.516,0.818,2.5,3,0.5,1.5,21
Damion Lee,30,4,19.5,0.545,0.667,2.5,1.8,0,0,6.5
Kawhi Leonard,31,2,21,0.472,0.889,6.5,2,0,2,12.5
Caris LeVert,28,3,34.7,0.409,0.875,4,6.3,0.3,1.7,11.3
Damian Lillard,32,4,37,0.595,0.917,5.5,5.3,0.5,3.8,33.3
Nassir Little,22,4,13.8,0.684,0.2,2.5,0.5,0,0,6.8
Isaiah Livers,24,2,18,0.417,1,2.5,0.5,0,2,6.5
Kenneth Lofton Jr.,20,1,9,0.5,0,1,1,0,0,4
Kevon Looney,26,4,20.5,0.733,0.333,4.8,3.8,0.3,0.3,5.8
Brook Lopez,34,2,30,0.543,0.5,4.5,1.5,3.5,0.5,13
Robin Lopez,34,2,15,0.818,0,4.5,0.5,0.5,1,9
Kevin Love,34,3,19.3,0.643,1,8.7,2,0.3,0.7,9.3
Kyle Lowry,36,4,35.3,0.372,0.875,3.5,4.5,0.3,1.5,10.8
Trey Lyles,27,2,9,0.364,0,2.5,0.5,0,0.5,4
Théo Maledon,21,2,9.5,1,0.8,0.5,2.5,0,0.5,3
Sandro Mamukelashvili,23,1,2,0,0,0,0,0,1,0
Terance Mann,26,4,14,0.769,0.5,3.5,0.3,0.3,1,5.8
Tre Mann,21,4,29,0.466,0.667,3.3,3.3,0,1,15
Boban Marjanovi?,34,2,3.5,0.5,0.667,1.5,0.5,0,0.5,2
Lauri Markkanen,25,4,35.5,0.5,0.833,8.8,3,0.5,1.3,21.5
Naji Marshall,25,4,18.3,0.5,0.75,2.3,1,0.5,1,6.5
Caleb Martin,27,3,26.7,0.354,1,5.3,1.7,0,0.3,6.3
Cody Martin,27,1,1,0,0,0,0,0,0,0
Kenyon Martin Jr.,22,4,28,0.406,0.714,4.8,2,0.5,1.5,7.8
Tyrese Martin,23,1,2,1,0,0,0,0,0,2
Garrison Mathews,26,4,12.8,0.3,1,1,0.3,0.3,0.3,1.8
Bennedict Mathurin,20,4,27.8,0.578,0.789,5.8,2,0,2,22.3
Wesley Matthews,36,2,16,0.571,0,3,1,0.5,0,4
Tyrese Maxey,22,4,37.5,0.491,0.75,2,2.8,0,1.8,17.3
Miles McBride,22,1,3,0,0,0,0,0,0,0
CJ McCollum,31,4,34.8,0.487,0.889,3.5,7.8,0.3,2.3,21
T.J. McConnell,30,4,15.5,0.381,0,2.3,3,0.3,1.8,4
Jaden McDaniels,22,4,31.5,0.5,0.875,3.5,1,1,0.8,11
Jalen McDaniels,25,3,23.3,0.722,1,5,2.3,1,0.7,9.3
Doug McDermott,31,4,17.5,0.574,0,1.8,1.3,0.3,0.8,7.8
JaVale McGee,35,3,13,0.583,0.375,4,0.7,1.3,1,5.7
Bryce McGowens,20,2,3.5,0.5,0,0,0,0.5,0,1
Rodney McGruder,31,1,5,0.5,0,1,0,0,0,3
Jordan McLaughlin,26,4,16,0.423,0,2.5,3,0,1,2.8
De'Anthony Melton,24,4,18.3,0.55,1,2.5,0.5,0,0,6.3
Chimezie Metu,25,2,5.5,0.333,1,2,0.5,0.5,0,2
Patty Mills,34,3,17.7,0.684,1,0.7,0.7,0,0,10.7
Shake Milton,26,1,6,0,0,1,1,0,0,0
Davion Mitchell,24,3,18,0.325,0,1.3,3,0,0.7,4.3
Donovan Mitchell,26,3,38,0.572,0.875,5.3,7,0.3,4.3,33.3
Evan Mobley,21,3,32.3,0.58,0.917,5.3,1.3,1,2.7,13.3
